ab;from, away
der Sonntag;the Sunday
spät;late
der Spaß;the fun
das Spiel;the game
spielen;to play
sprechen;to talk
springen;to jump
die Stadt;the city, the town
stand;(I, he, she, it) stood
stark;strong
stehen;to stand
steigen;to climb
der Stein;the stone
stellen;to place
die Straße;the street
das Stück;the piece
der Stuhl;the chair
die Stunde;the hour
suchen;to search
der Tag;the day
tanken;to refuel
die Tante;the aunt
die Tasse;the cup
der Teller;the plate
tief;deep
das Tier;the animal
der Tisch;the table
die Tochter;the daughter
tot;dead
tragen;to carry
traurig;sad
treffen;to meet
trinken;to drink
tun;to do
die Tür;the door
über;above, about
die Uhr;the clock
um;at
und;and
unten;below
unter;under
der Vater, Vati;the father
vergessen;to forget
verkaufen;to sell
verlieren;to lose
verstecken;to hide
viel;many
viele;a lot of
vielleicht;perhaps
vier;four
der Vogel;the bird
voll;full
vom, von;of
vor;before
vorbei;past (a building)
der Wagen;the car, the carriage
wahr;true
der Wald;the forest
war;was
warm;warm
warten;to wait
warum;why
was;what
waschen;to wash
das Wasser;the water
der Weg;the way
weg;away
Weihnachten;Christmas
weil;because
weinen;to cry
weiß;white
weit, weiter;far, futher
wenig;few
wenn;when, if
wer;who
werfen;to throw
wie;how
wieder;again
die Wiese;the meadow
wild;wild
der Winter;the winter
wir;we
wissen;to know
wo;where
die Woche;the week
wohnen;to live
wollen (ich will, du willst...);want (I want, you want...)
das Wort;the word
die Wurst;the sausage
die Zahl;the number
der Zahn;the tooth
zehn;ten
zeigen;to show
die Zeit;the time
die Zeitung;the newspaper
ziehen;to draw
das Zimmer;the room
zu;to (e.g. die Zeit zu gehen = the time to leave)
zuerst;first of all
der Zug;the train
zurück;back
zusammen;together
zwei;two 
